LONGITUDE,LATITUDE,PB206_PB204,PB207_PB204,PB208_PB204
94.8328,-44.833,17.871,15.489,37.537
35.847,-44.815,18.152,15.47766667,37.91066667
36.302,-44.807,18.237,15.499,37.976
94.77,-44.8,17.8877,15.4877,37.634
94.68,-44.76,17.8744,15.4838,37.5225
37.07,-44.733,18.275,15.53,38.063
35.78,-44.73,18.2423,15.5023,37.9802
94.6,-44.72,17.8721,15.4824,37.519
129.188,-44.6339,18.23066667,15.48206667,37.75353333
129.188,-44.6321,18.12605,15.47445,37.8498
37.5,-44.63,18.2269,15.4992,37.9639
37.27,-44.61,18.35155,15.51475,38.13555
94.43,-44.6,17.8673,15.4764,37.5159
94.34,-44.57,17.8647,15.466,37.4748
126.908,-44.4245,18.067925,15.4671,37.9146
94.31,-44.41,17.8194,15.4653,37.4629
129.051,-44.2866,17.94625,15.4575,37.71485
129.051,-44.2846,18.1564,15.4733,37.8952
94.15,-44.27,18.488,15.5157,38.2353
93.99,-44.22,17.8109,15.4634,37.4491
94.03,-44.22,17.8284,15.4619,37.4537
93.94,-44.19,17.8446,15.4741,37.5303
38.795,-44.18,18.3695,15.506,38.081
93.773,-44.1167,17.793,15.465,37.443
93.65,-44.08,17.8682,15.4681,37.4612
93.55,-44.02,17.7982,15.4584,37.3963
134.998,-44.01,18.8684,15.5203,38.3609
134.998,-44.0082,18.83671818,15.5049,38.26118182
93.46,-43.98,17.856,15.4662,37.462
128.828,-43.9483,18.3142,15.4918,38.091
128.828,-43.9464,18.5812,15.5001,38.1773
128.829,-43.9446,18.6281,15.502,38.1871
40.94,-43.92,18.4067,15.5268,38.1741
93.36,-43.92,17.7708,15.4503,37.3351
93.23,-43.9,17.8634,15.4772,37.5731
40.653,-43.893,16.918,15.487,37.2845
40.8,-43.89,18.4263,15.5262,38.1701
40.81,-43.89,18.4122,15.5253,38.1444
93.1143,-43.8823,17.874,15.484,37.586
93.09,-43.83,17.8554,15.4802,37.5567
93.02,-43.8,17.89825,15.5186,37.62695
127.746,-43.7492,18.05665,15.46975,37.88745
127.748,-43.7483,18.0444,15.4659,37.8719
92.93,-43.74,17.8789,15.4814,37.6216
92.85,-43.69,17.86,15.4806,37.5811
92.77,-43.63,17.8674,15.4774,37.5737
39.308,-43.612,17.442,15.48433333,37.66333333
92.677,-43.5785,17.844,15.478,37.547
92.63,-43.56,17.8691,15.4834,37.6052
91.94,-43.5,17.8685,15.4646,37.5611
91.684,-43.4683,17.868,15.485,37.569
92.4,-43.44,17.9045,15.4966,37.5902
40.21,-43.43,17.1805,15.4342,37.3867
92.3333,-43.4282,17.848,15.464,37.549
91.29,-43.42,17.9667,15.471,37.6758
91.2892,-43.4172,17.97,15.464,37.661
39.98,-43.41,16.5838,15.35785,36.8709
40.1,-43.4,17.2738,15.4427,37.4116
92.31,-43.39,17.8379,15.4828,37.5148
39.852,-43.377,17.11066667,15.41666667,37.30066667
39.69,-43.36,17.2434,15.4496,37.4273
91.86,-43.35,17.8857,15.4703,37.5957
92.23,-43.35,17.8768,15.47815,37.59105
91.5,-43.34,17.8894,15.4722,37.5998
91.48,-43.27,17.8527,15.4678,37.5135
128.884,-43.2613,17.98553333,15.4567,37.7587
128.886,-43.2611,18.5039,15.49155,38.12485
91.0947,-43.0822,17.868,15.48,37.564
91.04,-43.04,17.841,15.4635,37.5114
90.95,-42.98,18.042,15.4841,37.9118
90.7952,-42.8863,17.863,15.479,37.456
90.68,-42.83,17.7824,15.4573,37.4902
90.84,-42.83,17.8354,15.4633,37.4884
90.6,-42.78,17.8214,15.4608,37.5029
90.51,-42.76,17.8785,15.4635,37.5556
127.888,-42.7332,18.0285,15.46555,37.84405
127.888,-42.7314,18.0129,15.4642,37.84615
41.985,-42.687,17.829,15.448,37.486
41.89,-42.685,17.859,15.436,37.418
90.34,-42.65,17.9065,15.4696,37.62
90.24,-42.58,17.8969,15.4646,37.5682
90.204,-42.568,17.91,15.474,37.646
90.17,-42.56,17.9329,15.4734,37.6412
89.97,-42.48,17.9199,15.4685,37.6191
89.88,-42.42,17.9423,15.4713,37.7055
89.8,-42.36,17.9443,15.4723,37.7076
89.69,-42.33,17.8959,15.4718,37.6701
129.815,-42.2715,18.37664,15.4807,38.0027
89.54,-42.23,17.9629,15.495,37.6986
89.41,-42.17,17.9807,15.4777,37.7676
88.042,-42.115,17.97,15.501,37.979
42.73,-42.01,17.814,15.452,37.312
42.72,-41.98,17.71,15.424,37.234
89.15,-41.96,18.1151,15.5447,38.0839
127.992,-41.9582,18.03645,15.4597,37.76648
